experiment_id	phase	description	retrieval_score	recall_at_k	ndcg_at_k	precision_at_k	mrr	map_at_k	hit_rate_at_k	num_eval_samples	wall_clock_seconds	delta_vs_best	result	reasoning	timestamp
11	3-Reranking	top_k=50 then rerank to top_n=5	0.9867	0.9933	0.9801	0.0199	0.9757	0.9757	0.9933	300	4799.2	+0.0033	KEEP	Diminishing returns: delta +0.0033 vs +0.0058 at k=30. 2 queries still miss. Wall clock 80 min.	2026-04-01
12	3-Reranking	top_k=50 rerank_top_n=3 (tighter output)	0.9844	0.9900	0.9788	0.0198	0.9750	0.9750	0.9900	300	4062.4	-0.0023	REVERT	Tighter top_n cuts recall. Relevant docs at positions 4-5 excluded. top_n=5 is optimal.	2026-04-01
13	3-Reranking	L-12-v2 reranker top_k=50 (OOM failure - not evaluated)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	REVERT	OOM: L-12-v2 processes 50 pairs per query in single batch, exceeds CPU memory. Retry with smaller top_k.	2026-04-01
14	3-Reranking	L-12-v2 reranker top_k=10 top_n=5 (model quality vs pool size test)	0.9710	0.9767	0.9653	0.0977	0.9614	0.9614	0.9767	300	1656.7	-0.0158	REVERT	L-12-v2 at k=10 matches L-6-v2 at k=10 exactly. Pool size is the bottleneck not model quality. More layers cannot find docs not in top-10.	2026-04-01
15	3-Reranking	Hybrid BM25+Dense + reranker top_k=20 top_n=5 (ARTIFACT - invalid metrics)	1.4028	1.8367	0.9688	0.0918	0.9643	1.8165	0.9800	300	1974.9	N/A	REVERT	Measurement artifact: duplicate doc_ids from multi-chunk docs inflate recall>1. True NDCG=0.9688 lower than dense at k=20 (0.9718). Best_config restored to 0.9867.	2026-04-01
16	3-Reranking	Dense top_k=20 reranker top_n=7 (output size tuning)	0.9776	0.9833	0.9718	0.0492	0.9679	0.9679	0.9833	300	1492.8	-0.0092	REVERT	top_n=7 identical to top_n=5 at k=20. Positions 6-7 have no relevant docs. NDCG unchanged. Output size tuning beyond top_n=5 yields no benefit.	2026-04-01
17	2-Retrieval	Dense top_k=20 no reranker top_n=20 (pure dense baseline at k=20)	0.9649	0.9867	0.9431	0.0493	0.9292	0.9292	0.9867	300	14.5	-0.0218	REVERT	Pure dense k=20 scores 0.9649 vs reranked 0.9776. Reranker adds +0.013 via NDCG improvement (+3%) despite recall truncation. Reranker clearly worth its cost.	2026-04-01
18	3-Reranking	Dense top_k=25 reranker L-6-v2 top_n=5 (interpolation k=20 to k=30)	0.9776	0.9833	0.9718	0.0393	0.9679	0.9679	0.9833	300	1600.2	-0.0092	REVERT	top_k=25 same as top_k=20. Positions 21-25 have no relevant docs for missing queries. Jump from 0.9776 to 0.9834 comes from positions 26-30 specifically.	2026-04-01
19	3-Reranking	L-2-v2 reranker top_k=50 top_n=5 (faster model same pool as best)	0.9783	0.9900	0.9667	0.0198	0.9587	0.9587	0.9900	300	1158.1	-0.0084	REVERT	L-2-v2 is 4.1x faster (19.3 min) but NDCG suffers (-1.3%). Model quality is the bottleneck — 2 layers cannot rank as accurately as 6 layers. Speed gain comes at real accuracy cost.	2026-04-01
20	3-Reranking	L-2-v2 reranker top_k=75 top_n=5 (larger pool with fast model)	0.9783	0.9900	0.9667	0.0132	0.9587	0.9587	0.9900	300	1781.8	-0.0084	REVERT	Identical to k=50 with L-2-v2. Positions 51-75 have no more relevant docs. NDCG ceiling confirmed at 0.9667 — model quality limitation not pool size. L-6-v2 at k=50 remains best.	2026-04-01
